mc160.train.0	the hardest thing for Tom and his friends to was fix Door.	the hardest thing for Tom and his friends to was fix House.	the hardest thing for Tom and his friends to was fix Window.	the hardest thing for Tom and his friends to was fix Toilet.	Tom need to fixed first Door.	Tom need to fixed first House.	Tom need to fixed first Window.	Tom need to fixed first Toilet.	Jim didn't bring Jim with him.	Jim didn't bring Dolly with him.	Jim didn't bring Molly with him.	Jim didn't bring Holly with him.	Molly was Tom's best friend.	Holly was Tom's best friend.	Jim was Tom's best friend.	Dolly was Tom's best friend.
mc160.train.1	Whisker's Birthday is on Today.	Whisker's Birthday is on Last year.	Whisker's Birthday is on Friday.	Whisker's Birthday is on Saturday.	Whiskers likes to do Sleep in the sun and drink creamy milk.	Whiskers likes to do Play.	Whiskers likes to do Drink.	Whiskers likes to do Sleep.	All white with a black spot color is Whiskers.	White color is Whiskers.	Black color is Whiskers.	Black with white paws and a white spot color is Whiskers.	Lisa buys for Whiskers for this birthday A bowl with a cat on it.	Lisa buys for Whiskers for this birthday A play mouse.	Lisa buys for Whiskers for this birthday A red ball of yarn and a bowl with a cat on it.	Lisa buys for Whiskers for this birthday A blue feather.
mc160.train.2	the main characters live in A home for orphans.	the main characters live in A house.	the main characters live in An Apartment.	the main characters live in A trailer park.	the girl's is name Patty.	the girl's is name Katerina.	the girl's is name Kate.	the girl's is name Katherine.	wrong with the girl is She has the flu.	wrong with the girl is She has a heart problem.	wrong with the girl is She has diabetes.	wrong with the girl is She has a cold.	the boy's is name Hawthorne.	the boy's is name Hawthorne's.	the boy's is name Hamlet.	the boy's is name Jeremy.
mc160.train.3	the strange was guy doing with the friend enjoying a meal.	the strange was guy doing with the friend talking about his job.	the strange was guy doing with the friend talking to him.	the strange was guy doing with the friend trying to beat him.	the strange guy ran away because because he heard the cop car.	the strange guy ran away because because he saw his friend.	the strange guy ran away because because he didn't like the dinner.	the strange guy ran away because because it was getting late.	a sword was the strange guy dressed up as.	a car was the strange guy dressed up as.	a superhero was the strange guy dressed up as.	a cop was the strange guy dressed up as.	they ate at the friend's house lunch.	they ate at the friend's house snack.	they ate at the friend's house breakfast.	they ate at the friend's house dinner.
mc160.train.4	Alex proud of James because Alex was proud because James was brave.	Alex was proud because he was his hero.	Alex was proud because he was weak.	Alex was proud because he was scared.	Alex is the character that is fat and is being bullied.	Gordon is the character that is fat and is being bullied.	Johnny is the character that is fat and is being bullied.	James is the character that is fat and is being bullied.	James wanted to be heroes. They were protecting themselves.	the bullies do after James stood up ed to them The bullies didn't know what to do and gave up. They went away to look for more fun things.	James were scared. They stood up for each other.	James were weak. They remembered all the times they were being protected.	James stand up ed to the bullies because Because he was weak. He wanted to be the opposite.	James wanted to protect himself. He did n't want Alex to always help him.	James stand up ed to the bullies because Because they grew up together. They were best friends.	James wanted to not be scared. He wanted someone to be proud of him.
mc160.train.5	The park didn't invite Martha to the party.	No one didn't invite Martha to the party.	Martha didn't invite Martha to the party.	Stephan didn't invite Martha to the party.	Martha did n't know who she was	Martha did n't know where she was	Martha did n't know what time it was	Martha could n't find her friends	Sunny such as it.	Windy such as it.	Rainy such as it.	Cloudy such as it.	Martha checked first at the park in Under the benches.	Martha checked first at the park in At her house.	Martha checked first at the park in Restrooms.	Martha checked first at the park in At the top of the slides.
mc160.train.6	Sam was time for a bath.	Sam was time to go to school.	mom say Sam could not played because Sam had to pet the cat.	Sam was time for breakfast.	Katy is Sam's best friend.	John is Sam's best friend.	Bill is Sam's best friend.	Ralph is Sam's best friend.	Sam love Ralph because Because Ralph licks him on the face and has floppy ears.	Sam love Ralph because Because Ralph likes to lick him on the face and play.	Sam love Ralph because Because Ralph likes to run and play.	Sam love Ralph because Because Ralph likes to jump and run.	Sam's favorite cereal is Fruit Loops.	Sam's favorite cereal is Friendly O's.	Sam's favorite cereal is Cheerios.	Sam's favorite cereal is Sharkies.
mc160.train.7	Bentley had been stuck in traffic	Bentley's human's upset because The house was wet.	Bentley's human's upset because The door was open.	Bentley's human's upset because The animals ripped the sofa.	name of the cat Bentley was met Bentley.	name of the cat Bentley was met Human.	name of the cat Bentley was met Felix.	name of the cat Bentley was met Puppy.	Bentley digging in was River.	Bentley digging in was Trash.	Bentley digging in was Dirt.	Bentley digging in was Street.	the two animals went after digging in the trash in The city.	the two animals went after digging in the trash in River.	the two animals went after digging in the trash in Space.	the two animals went after digging in the trash in Home.
mc160.train.8	Timmy like to collected the most Baseball cards.	Timmy like to collected the most Bottle caps.	Timmy like to collected the most Sea shells.	Timmy like to collected the most Stamps.	Timmy's most expensive collection is Sea Shells.	Timmy's most expensive collection is Baseball Cards.	Timmy's most expensive collection is Stamps.	Timmy's most expensive collection is Bottle Cap.	Timmy not collected Baseball cards.	Timmy not collected Bottle caps.	Timmy not collected Sea shells.	Timmy not collected Stamps.	Timmy liked to do Play games these things the most.	Timmy liked to do Play sports these things the most.	Timmy liked to do Collect things these things the most.	Timmy liked to do Collect stamps these things the most.
mc160.train.9	Pawn almost hurt Pawn.	Queen almost hurt Pawn.	King almost hurt Pawn.	Knight almost hurt Pawn.	Pawn was the greatest person in Board.	Knight was the greatest person in Board.	Rook was the greatest person in Board.	King was the greatest person in Board.	Pawn protected with his new power Bishop.	Pawn protected with his new power Rook.	Pawn protected with his new power Queen.	Pawn protected with his new power King.	the only thing to was do in Board help King.	the only thing to was do in Board become Queen.	the only thing to was do in Board play chess.	the only thing to was do in Board meet people.
mc160.train.10	doesn't using the stool work at first because It isn't tall enough.	doesn't using the stool work at first because it's in the cupboard.	doesn't using the stool work at first because it doesn't reach the edge of the sink.	doesn't using the stool work at first because Jake is too short to use the stool.	 At the beginning of the story, why can't Jake get the oranges his mother told him not to.	 At the beginning of the story, why can't Jake get the oranges he doesn't like them.	 At the beginning of the story, why can't Jake get the oranges they make him itchy.	 At the beginning of the story, why can't Jake get the oranges They are on top of the refrigerator, where he can't reach.	Bananas fruit was not in the house.	Strawberries fruit was not in the house.	Apples fruit was not in the house.	Oranges fruit was not in the house.	Jake do with the orange once he does has it Puts it back on top of the refrigerator.	Jake do with the orange once he does has it Throws it away in the yard waste.	Jake do with the orange once he does has it Puts it in the sink.	Jake do with the orange once he does has it Eats it.
mc160.train.11	Mark felt name.	Mark felt block.	Mark felt happy.	Mark felt off.	Error was Wendy's dad.	Wendy was Wendy's dad.	Greg was Wendy's dad.	Mark was Wendy's dad.	Mark had to write very.	Mark had to write story.	Mark had to write case.	Mark had to write could.	Mark wanted story.	Mark wanted money.	Mark wanted odd.	Mark wanted bears.
mc160.train.12	James does 2 hours have to play every day for a week to be good at baseball.	James does 1 hour have to play every day for a week to be good at baseball.	James does 7 hours have to play every day for a week to be good at baseball.	James does 5 hours have to play every day for a week to be good at baseball.	James does do when his glove rips he gives up.	James does do when his glove rips he borrows his brother's glove.	James does do when his glove rips he looks for a way to make money.	James does do when his glove rips he gets mad and yells.	James needs to practice music.	James needs to practice hockey.	James needs to practice football.	James needs to practice baseball.	James' friend's is name Harry.	James' friend's is name Tommy.	James' friend's is name Arnold.	James' friend's is name Mi key.
mc160.train.13	Her father was the main character flying a kite with.	Her aunt was the main character flying a kite with.	Her mother was the main character flying a kite with.	Her brother was the main character flying a kite with.	the main character feel about her kites adventure Sad.	the main character feel about her kites adventure Interested by the sights.	the main character feel about her kites adventure Very scared.	the main character feel about her kites adventure Bored.	the main character say it can be dangerous to fly a kite because Because the kite has sharp edges.	the main character say it can be dangerous to fly a kite because Because the kite string got twisted around her.	the main character say it can be dangerous to fly a kite because Because she got caught on the kite and pulled up into the air.	the main character say it can be dangerous to fly a kite because Because she ran too fast with the kite and fell down.	the main character say her dad looks likes on the ground A black dot.	the main character say her dad looks likes on the ground A bear.	the main character say her dad looks likes on the ground An ant.	the main character say her dad looks likes on the ground Nothing.
mc160.train.14	brown color was the cute puppy.	yellow color was the cute puppy.	black color was the cute puppy.	white color was the cute puppy.	the best gift Rudy was had ever been given a red collar with a name tag.	the best gift Rudy was had ever been given a toy.	the best gift Rudy was had ever been given a bone.	the best gift Rudy was had ever been given a ball.	Rudy and Thomas love to played in the back yard.	Rudy and Thomas love to played in at the park.	Rudy and Thomas love to played in in the garden.	Rudy and Thomas love to played in in the house.	name of Rudy's best friend was Sally.	name of Rudy's best friend was Jacob.	name of Rudy's best friend was Thomas.	name of Rudy's best friend was Rick.
mc160.train.15	Jessica brought to the pond Lunch and colas.	Jessica brought to the pond Spike.	Jessica brought to the pond Bone.	Jessica brought to the pond Frisbee.	John's puppy's is name Pond.	John's puppy's is name Jessica.	John's puppy's is name John.	John's puppy's is name Spike.	John threw to Spike Leash.	John threw to Spike Frisbee and Bone.	John threw to Spike Colas.	John threw to Spike Lunch.	Spike was John's best friend.	Jessica was John's best friend.	Tom was John's best friend.	Thomas was John's best friend.
mc160.train.16	Mark did the people sing about.	Horace did the people sing about.	Assassin did the people sing about.	Tim did the people sing about.	Greg was Tim's grandfather.	Jim was Tim's grandfather.	Frank was Tim's grandfather.	Horace was Tim's grandfather.	20 years has Tim ruled.	3 years has Tim ruled.	100 years has Tim ruled.	5 years has Tim ruled.	Mark was Jim's father.	Tim was Jim's father.	Mark ton was Jim's father.	Greg was Jim's father.
mc160.train.17	Jane beat the others did at the racing games games.	Jane beat the others did at the cooking games games.	Jane beat the others did at the puzzle games games.	Jane beat the others did at the battle games games.	Jake eats at the diner a cheeseburger with onions.	Jake eats at the diner an onion ring basket.	Jake eats at the diner fish and chips.	Jake eats at the diner a cheese sandwich.	Dave has to do his reading homework	Dave has piano practice	Dave leave Jane's house after only an hour because the others don't like him.	Dave leave Jane's house after only an hour because his mother is waiting for him.	they promise to did the next day hang out at Jane's house.	they promise to did the next day hang out during school.	they promise to did the next day hang out at the diner.	they promise to did the next day hang out after school.
